Add a testcase that uses mockito instead of easymock+robolectric,migration
Migrate tests from TestNG to JUnit,migration
SECOAUTH-177: Switch to Mockito,migration
migrate from testNG to Junit #5548,migration
removes use og TestNG in favour of Junit,migration
fix LOGBACK-765,fix
s/easymock/mockito/,none
HADOOP-11613. Remove commons-httpclient dependency from hadoop-azure. Contributed by Masatake Iwasaki.,migration
CAMEL-2330 applied patch with thanks to Pavel,none
commons logging -> slf4j 1.1.0,migration
slf4j log impl,none
Remove dependency to EasyMock. Rework a single test to Mockito based,migration
2986747; feature; migration to SLF4J API in favor of commons-logging;,migration
Switch from EasyMock to Mockito,migration
Updated UI tests to use junit instead of testNG.,migration
Switched to JUnit over TestNG,migration
HSEARCH-197 move to slf4j,migration
This is a non-functional attempt to update ksoap2-android from commons-httpclient-3.1 to org.apache.httpcomponents-httpclient-4.x.,update
Update to latest HTTP Components,update
IN PROGRESS - issue FWK-119: Testes da extensão Servlet,none
"[PPP-3735] - Use of vulnerable component httpclient-3.0.1.jar, commons-httpclient-3.1 - httpclient-4.0.1.jar, SONATYPE-2007-0004, CVE-2012-6153, CVE-2011-1498, CVE-2014-3577",none
Fix for https://issues.apache.org/jira/browse/AMQ-3521,fix
Update project dependencies to be Spring IO compliant,update
HV-57 move to slf4j,migration
JSEC-118 - addedd SLF4J and removed commons logging.,migration
Adds support for proxy including authentication to Importer and ProxyServlet. Adds locale-based attribute parsing to Crawler.,support
FELIX--5457 : Logger Support. Use Mockito instead of EasyMock,migration
"Ahhh, I just can't go back to EasyMock after having used Mockito",migration
httpclient 4.0 upgrade,update
Removed old Javadocs.,none
CASC-202,none
Replace EasyMock with Mockito,migration
http://code.google.com/p/wiquery/issues/detail?id=132,none
Upgraded from Commons HTTP Client to Apache HttpComponents' HTTPClient.,migration
JCR-4065: add WebDAV API based on HttpClient4,support
Clean tests : use assertj everywhere + Given / When / Then principle + use Mockito instead of EasyMock,migration
"Latest httpclient, jackson etc; abstract out direct dependency on collectd metrics",update
Change to JUnit and add beginings of AS7 tests,migration
[PAXWEB-252] - Use slf4j for easier logging.,support
Switched from easymock to mockito,migration
Switch to the Mockito from Easymock,migration
Added initial unit test code that checked to see if some service,none
"changed testbench to use httpcomponents (only in tests, anyway)",migration
switched easymock -> mockito,migration
migrated tests from easymock to mockito,migration
CITRUS-32 Use Mockito as unit mocking framework,support
new HttpClient,none
JFG-370 httpClient,none
JFG-902 Replace XML jagger configuration with java builders (#677),migration
Switched from TestNG to JUnit,migration
First pass at a new PredictiveModelOptimizer - PredictiveModelOptimizer2,migration
"Switching tests from easymock to mockito, removing all easymock",migration
"- Upgraded to junit 4.7, removed testng dependency.",update
Suite à la discussion à https://github.com/ippontech/IpponRecrute/commit/973a1f6ddec4b163af2610baed728bc7669b50a1,none
NOJIRA,none
move to commons httpclient 4,migration
* replaced @EasyMock@ with @Mockito@,migration
Refactored code using commons-httpclient 3.1 lib to use http-client 4.1.1 lib (No change in SSL behavior).  All integration tests are passing.,support
JGroups 3.0 upgrade.,update
"switched to new httpclient, added HTTP basic authentication for GET and POST",migration
Switched from commons-httpclient which is no longer in development to apache components httpclient PLFM-628,migration
MODCLUSTER-287 Demo load servlet needs to be rewritten to not rely on JMX,none
MX-9 css'ing on the form. replaced easymock with mockito for this part,migration
replacing remaining easymock junit tests with mockito,migration
easymock -> mockito,migration
replacing easymock with mockito to keep one mock framework,migration
[MOD] switched to sl4j instead of log4j,migration
Replace TestNG with JUnit + Rules,migration
"Get rid of TestNG in favor of JUnit, use hamcrest through JUnit",migration
making jiwigo use httpclient 4; removing singletons; adding conversions methods between jiwigo and commons-gallery; regalandroid now browses piwigo galleries,support
CAP-113:  Provide support for NTLM authentication in the Exchange adapter,support
[issue 49] EasyMock -> Mockito,migration
"Switch to slf4j.  Maven is going this way, and JCL's automatic discovery / classloader issues were being a gigantic PITA",migration
Update apache commons httpclient library,update
